Date,Open,High,Low,Close,Adj Close,Volume
2012-02-27,7.489000,7.515000,7.391800,7.403400,7.403400,0
2012-03-05,7.401900,7.482800,7.388300,7.480200,7.480200,0
2012-03-12,7.479300,7.596700,7.441100,7.544700,7.544700,0
2012-03-19,7.548800,7.646500,7.538100,7.627000,7.627000,0
2012-03-26,7.627100,7.648870,7.569000,7.575700,7.575700,0
2012-04-02,7.577500,7.596400,7.539000,7.584000,7.584000,0
2012-04-09,7.596740,7.626500,7.559900,7.568900,7.568900,0
2012-04-16,7.567400,7.583450,7.517200,7.556600,7.556600,0
2012-04-23,7.556570,7.596400,7.539800,7.579500,7.579500,0
2012-04-30,7.591400,7.593700,7.532900,7.559900,7.559900,0
2012-05-07,7.564300,7.612300,7.537300,7.573100,7.573100,0
2012-05-14,7.567100,7.659700,7.554500,7.608600,7.608600,0
2012-05-21,7.615100,7.637400,7.519100,7.531700,7.531700,0
2012-05-28,7.532800,7.614000,7.498800,7.602400,7.602400,0
2012-06-04,7.599700,7.649500,7.562300,7.580600,7.580600,0
2012-06-11,7.578100,7.587400,7.486000,7.546100,7.546100,0
2012-06-18,7.535700,7.554600,7.452000,7.486800,7.486800,0
2012-06-25,7.486200,7.560200,7.476800,7.541400,7.541400,0
2012-07-02,7.534000,7.559940,7.457900,7.508800,7.508800,0
2012-07-09,7.519000,7.523300,7.416000,7.465400,7.465400,0
2012-07-16,7.462700,7.495900,7.363200,7.370700,7.370700,0
2012-07-23,7.370900,7.483300,7.345500,7.452900,7.452900,0
2012-07-30,7.450200,7.464800,7.355500,7.401300,7.401300,0
2012-08-06,7.408700,7.412500,7.247400,7.267100,7.267100,0
2012-08-13,7.270700,7.374500,7.264000,7.302600,7.302600,0
2012-08-20,7.286800,7.360380,7.285300,7.295400,7.295400,0
2012-08-27,7.293700,7.348600,7.257500,7.289600,7.289600,0
2012-09-03,7.289900,7.400800,7.272100,7.332100,7.332100,0
2012-09-10,7.322520,7.462000,7.312400,7.452400,7.452400,0
2012-09-17,7.466660,7.496360,7.400600,7.448700,7.448700,0
2012-09-24,7.450620,7.458800,7.348570,7.361300,7.361300,0
2012-10-01,7.357700,7.440500,7.351060,7.391300,7.391300,0
2012-10-08,7.389600,7.415840,7.363200,7.393600,7.393600,0
2012-10-15,7.400870,7.413600,7.341000,7.371500,7.371500,0
2012-10-22,7.370900,7.480100,7.370900,7.458700,7.458700,0
2012-10-29,7.463900,7.469100,7.329200,7.353000,7.353000,0
2012-11-05,7.348900,7.362500,7.274500,7.300220,7.300220,0
2012-11-12,7.302200,7.371000,7.291300,7.369700,7.369700,0
2012-11-19,7.372200,7.378300,7.306000,7.341000,7.341000,0
2012-11-26,7.340200,7.389300,7.322700,7.375020,7.375020,0
2012-12-03,7.374800,7.384400,7.312000,7.333000,7.333000,0
2012-12-10,7.333700,7.403500,7.320600,7.402010,7.402010,0
2012-12-17,7.399700,7.414000,7.309200,7.347300,7.347300,0
2012-12-24,7.345700,7.400620,7.335000,7.375300,7.375300,0
2012-12-31,7.372900,7.384020,7.248900,7.329200,7.329200,0
2013-01-07,7.331300,7.381400,7.287900,7.372870,7.372870,0
2013-01-14,7.373060,7.474700,7.353800,7.459200,7.459200,0
2013-01-21,7.461210,7.465800,7.394100,7.438000,7.438000,0
2013-01-28,7.437200,7.451100,7.407100,7.436600,7.436600,0
2013-02-04,7.434690,7.453500,7.385700,7.398700,7.398700,0
2013-02-11,7.398500,7.419400,7.346900,7.404700,7.404700,0
2013-02-18,7.403100,7.504900,7.395300,7.470800,7.470800,0
2013-02-25,7.472070,7.522100,7.431800,7.480300,7.480300,0
2013-03-04,7.480200,7.483700,7.411300,7.440300,7.440300,0
2013-03-11,7.440300,7.564500,7.422600,7.485300,7.485300,0
2013-03-18,7.483400,7.575200,7.481600,7.537500,7.537500,0
2013-03-25,7.537500,7.552400,7.452700,7.488400,7.488400,0
2013-04-01,7.488790,7.489300,7.435600,7.438400,7.438400,0
2013-04-08,7.440700,7.519100,7.433600,7.492000,7.492000,0
2013-04-15,7.490000,7.607520,7.484960,7.593000,7.593000,0
2013-04-22,7.591500,7.701400,7.582600,7.624500,7.624500,0
2013-04-29,7.626600,7.631400,7.553300,7.607900,7.607900,0
2013-05-06,7.609100,7.666000,7.514800,7.522500,7.522500,0
2013-05-13,7.522100,7.555300,7.496100,7.514760,7.514760,0
